,companyName,company_offeredRole,Seniority Level,skills_required
0,Amazon Data Services UK Ltd,Software Engineer,Entry,"['agile', 'algorithms', 'master', 'java', 'computer science', 'optimization', 'bachelor', 'data structures', 'python', 'algorithm']"
1,Applied Nanodetectors Ltd,Software Engineer,Mid,"['bachelor', 'deep learning', 'algorithm', 'python', 'optimization']"
2,Jane Street,Software Engineer,Entry,[]
3,CITADEL ENTERPRISE EUROPE LIMITED,Software Engineer,Entry,"['probability', 'master', 'research', 'phd', 'computer science', 'bachelor', 'statistics']"
4,Microsoft,Software Engineer,Entry,"['c', 'python', 'java', 'perl']"
5,Visa,Software Engineer,Entry,"['javascript', 'algorithms', 'master', 'docker', 'java', 'nosql', 'computer science', 'c', 'bachelor', 'sql', 'python', 'rest']"
6,Moley robotics,Software Engineer,Mid,"['algorithms', 'agile', 'computer vision', 'computer science', 'agile development']"
7,Unity Technologies,Software Engineer,Entry,"['data science', 'oop', 'debugging', 'c', 'bachelor']"
8,eBay Inc.,Software Engineer,Entry,['agile']
9,Hire STEM Women,Software Engineer,Entry,['bachelor']
10,Twilio,Software Engineer,Entry,"['javascript', 'css', 'agile', 'continuous integration', 'html', 'phd', 'devops', 'computer science', 'bachelor', 'angular', 'aws', 'agile development', 'rest', 'react']"
11,Pearson,Software Engineer,Entry,"['azure', 'cyber security', 'cloud', 'computer science', 'aws', 'python']"
12,Echobox,Software Engineer,Entry,"['java', 'graduate']"
13,Smart Currency Group,Software Engineer,Mid,"['api', 'master', 'azure', 'cloud', 'c', 'bachelor', 'aws', 'sql', 'cloud computing']"
14,Hewlett Packard Enterprise,Software Engineer,Entry,"['bachelors', 'api', 'object oriented programming', 'git', 'java', 'oop', 'devops', 'cloud', 'computer science', 'jira', 'c', 'python', 'linux']"
15,Ocado Group,Software Engineer,Entry,['computer science']
16,Snapchat,Software Engineer,Entry,['computer science']
17,Samsara,Software Engineer,Entry,"['computer science', 'bachelor', 'master']"
18,Citrix,Software Engineer,Entry,"['javascript', 'algorithms', 'master', 'java', 'computer science', 'c', 'bachelor', 'python', 'data structures']"
19,Facebook,Software Engineer,Entry,"['bachelors', 'javascript', 'java', 'computer science', 'python']"
20,Expedia Group,Software Engineer,Entry,"['professional', 'github', 'algorithms', 'ml', 'excel', 'java', 'oop', 'full stack', 'devops', 'computer science', 'c', 'ux', 'python', 'data structures', 'machine learning']"
21,The Trade Desk,Software Engineer,Entry,"['master', 'computer science', 'bachelor', 'data processing', 'data structures']"
22,Maya HTT,Software Engineer,Entry,"['agile', 'java', 'undergraduate', 'oop', 'senior', 'computer science', 'c', 'agile development', 'python']"
23,Amex,Software Engineer,Entry,"['professional', 'javascript', 'algorithms', 'master', 'java', 'senior', 'computer science', 'c', 'bachelor', 'rust', 'python', 'data structures', 'graduate']"
24,"JPMorgan Chase Bank, N.A.",Software Engineer,Entry,"['javascript', 'algorithms', 'java', 'undergraduate', 'computer science', 'c', 'bachelor', 'python', 'data structures', 'graduate']"
25,Careers at Waybridge,Software Engineer,Entry,"['docker', 'logistic', 'senior', 'aws', 'kubernetes', 'python', 'react']"
26,siHealth Ltd,Software Engineer,Mid,['bachelor']
27,Microsoft,Software Engineer,Entry,"['java', 'research', 'c', 'perl', 'python']"
28,Autodesk,Software Engineer,Entry,[]
29,Unity Technologies,Software Engineer,Entry,"['c', 'bachelor']"
30,Maya HTT,Software Engineer,Entry,"['agile', 'java', 'undergraduate', 'oop', 'senior', 'computer science', 'c', 'agile development', 'python']"
