,Skill_1,Skill_2,Simmilarity/Correlation
0,jquery,bootstrap,0.9952071905136108
1,jquery,restful,0.9913152456283569
2,jquery,salesforce,0.9833167791366577
3,jquery,github,0.9787182807922363
4,jquery,cryptography,0.9785618185997009
5,jquery,django,0.9784746766090393
6,jquery,dynamic_programming,0.9772824048995972
7,jquery,git,0.973474383354187
8,jquery,system_design,0.9703327417373657
9,jquery,node,0.9702508449554443
10,airflow,tensor,0.9901267290115356
11,airflow,user_interface,0.9810018539428711
12,airflow,dynamic_programming,0.9797650575637817
13,airflow,node,0.9737197160720825
14,airflow,system_design,0.9731667041778564
15,airflow,ba,0.9728449583053589
16,airflow,caffe,0.9726507663726807
17,airflow,object_oriented_programming,0.9701526761054993
18,airflow,cryptography,0.968784749507904
19,airflow,django,0.9679162502288818
20,numpy,random_forest,0.9692010283470154
21,numpy,bayes,0.9534578323364258
22,numpy,matplotlib,0.9404764175415039
23,numpy,cassandra,0.9343407154083252
24,numpy,svm,0.9202741980552673
25,numpy,sklearn,0.9200941324234009
26,numpy,algorithms,0.9157612919807434
27,numpy,bigquery,0.9089566469192505
28,numpy,xgboost,0.8991746306419373
29,numpy,caffe,0.8977097272872925
30,julia,chatbot,0.9726875424385071
31,julia,bigquery,0.9528980255126953
32,julia,dash,0.9472507238388062
33,julia,decision_tree,0.9434119462966919
34,julia,svm,0.9421464800834656
35,julia,clojure,0.9389904141426086
36,julia,cassandra,0.9358212947845459
37,julia,kpi,0.9341297149658203
38,julia,matplotlib,0.9324812293052673
39,julia,dimensionality_reduction,0.9304779767990112
40,undergraduate,power_bi,0.9354199171066284
41,undergraduate,ba,0.9312416911125183
42,undergraduate,outlier,0.9219764471054077
43,undergraduate,stats,0.9218651056289673
44,undergraduate,qlik,0.9213369488716125
45,undergraduate,ma,0.9156777858734131
46,undergraduate,master,0.9075267910957336
47,undergraduate,r,0.9067978858947754
48,undergraduate,knn,0.897823691368103
49,undergraduate,data_structure,0.8949354887008667
50,sklearn,caffe,0.9863536357879639
51,sklearn,bigdata,0.9701175093650818
52,sklearn,support_vector_machine,0.969828724861145
53,sklearn,data_algorithms,0.9693853855133057
54,sklearn,dimensionality_reduction,0.9691707491874695
55,sklearn,bigquery,0.9658303260803223
56,sklearn,tensor,0.963420033454895
57,sklearn,scikitlearn,0.9621008634567261
58,sklearn,object_oriented_programming,0.961472749710083
59,sklearn,random_forest,0.9610216617584229
60,cybersecurity,dimensionality_reduction,0.9849841594696045
61,cybersecurity,gis,0.9849677085876465
62,cybersecurity,knn,0.9831808805465698
63,cybersecurity,bigdata,0.9824651479721069
64,cybersecurity,scikitlearn,0.9821990728378296
65,cybersecurity,glm,0.9810258150100708
66,cybersecurity,machine_vision,0.979607105255127
67,cybersecurity,recommendation_system,0.9794373512268066
68,cybersecurity,data_structure,0.9786325693130493
69,cybersecurity,stats,0.977694571018219
70,data_modeling,hbase,0.8781511783599854
71,data_modeling,rnn,0.8757182359695435
72,data_modeling,recommendation_systems,0.8712576627731323
73,data_modeling,deep_learning,0.8666383624076843
74,data_modeling,hive,0.864649772644043
75,data_modeling,graph,0.8604117631912231
76,data_modeling,pca,0.8563938140869141
77,data_modeling,nlp,0.8481638431549072
78,data_modeling,matlab,0.8481128215789795
79,data_modeling,computer_vision,0.8459550142288208
80,anomaly,matplotlib,0.9501246213912964
81,anomaly,julia,0.9288469552993774
82,anomaly,cassandra,0.9253225326538086
83,anomaly,bayesian,0.922028660774231
84,anomaly,svm,0.9196876287460327
85,anomaly,spark,0.9140340089797974
86,anomaly,random_forest,0.9129769206047058
87,anomaly,mongodb,0.9102394580841064
88,anomaly,bigquery,0.8970788717269897
89,anomaly,bayes,0.8924771547317505
90,kotlin,ux,0.9745606184005737
91,kotlin,visual_studio,0.9646939635276794
92,kotlin,full_stack,0.9587923884391785
93,kotlin,senior_software_engineer,0.951715350151062
94,kotlin,splunk,0.9470111131668091
95,kotlin,jenkins,0.9466153383255005
96,kotlin,shiny,0.9456207156181335
97,kotlin,c,0.9420349597930908
98,kotlin,javaee,0.9378865361213684
99,kotlin,blockchain,0.9364826679229736
100,bachelor,debugging,0.9806946516036987
101,bachelor,eclipse,0.9762404561042786
102,bachelor,react,0.9755545854568481
103,bachelor,jira,0.9630599021911621
104,bachelor,visual_studio,0.9571211338043213
105,bachelor,kubernetes,0.9540491104125977
106,bachelor,oracle,0.9537332057952881
107,bachelor,php,0.9535704851150513
108,bachelor,rest,0.9491022825241089
109,bachelor,angular,0.9466423392295837
110,computer_science,unix,0.9626262187957764
111,computer_science,rust,0.9358673691749573
112,computer_science,vs,0.9222623109817505
113,computer_science,xcode,0.9202250242233276
114,computer_science,blockchain,0.9131337404251099
115,computer_science,postgres,0.9116077423095703
116,computer_science,data_structures,0.9113788604736328
117,computer_science,cognos,0.9103004336357117
118,computer_science,splunk,0.909451961517334
119,computer_science,microsoft_power_bi,0.9052132368087769
120,aws,kafka,0.9773790240287781
121,aws,postgresql,0.921603798866272
122,aws,bachelor,0.9178791642189026
123,aws,cloud,0.9160028100013733
124,aws,data_modelling,0.9147440195083618
125,aws,debugging,0.9075103998184204
126,aws,ux,0.8915093541145325
127,aws,big_data_processing,0.8895424008369446
128,aws,apache,0.8855913877487183
129,aws,kubernetes,0.8800500631332397
130,dynamic_programming,django,0.9863595962524414
131,dynamic_programming,cryptography,0.9800851941108704
132,dynamic_programming,airflow,0.9797650575637817
133,dynamic_programming,object_oriented_programming,0.9795050621032715
134,dynamic_programming,jquery,0.9772823452949524
135,dynamic_programming,node,0.975226879119873
136,dynamic_programming,system_design,0.9739193916320801
137,dynamic_programming,caffe,0.9702221155166626
138,dynamic_programming,bootstrap,0.9657103419303894
139,dynamic_programming,user_interface,0.965131402015686
140,web_design,senior_software_engineer,0.9865202903747559
141,web_design,ruby_on_rails,0.974719762802124
142,web_design,agile_development,0.9689815044403076
143,web_design,visual_studio,0.9592170715332031
144,web_design,c,0.9557644724845886
145,web_design,angular,0.9504902362823486
146,web_design,senior,0.9494119882583618
147,web_design,mysql,0.9445551633834839
148,web_design,rest,0.9437472820281982
149,web_design,jira,0.9421119689941406
150,chatbot,decision_tree,0.9728531837463379
151,chatbot,julia,0.9726875424385071
152,chatbot,kpi,0.9614167809486389
153,chatbot,data_modelling,0.9605846405029297
154,chatbot,clojure,0.950301468372345
155,chatbot,ocr,0.9445528388023376
156,chatbot,mapreduce,0.9444514513015747
157,chatbot,big_data_processing,0.9433455467224121
158,chatbot,shiny,0.9408170580863953
159,chatbot,nn,0.939810037612915
160,cuda,rnn,0.9877694845199585
161,cuda,nltk,0.9865491390228271
162,cuda,pca,0.9816950559616089
163,cuda,segmentation,0.9731079339981079
164,cuda,recommender_systems,0.9700809121131897
165,cuda,algorithm,0.9686935544013977
166,cuda,recommendation_systems,0.9665506482124329
167,cuda,pytorch,0.9624650478363037
168,cuda,tf,0.9575070142745972
169,cuda,boosting,0.9555766582489014
170,ml_libraries,mapreduce,0.9782010912895203
171,ml_libraries,flask,0.9761310815811157
172,ml_libraries,correlation,0.975036084651947
173,ml_libraries,dask,0.9748950600624084
174,ml_libraries,scikit,0.965805172920227
175,ml_libraries,mxnet,0.9650293588638306
176,ml_libraries,lstm,0.9645403623580933
177,ml_libraries,pca,0.9573042392730713
178,ml_libraries,tuning,0.9572194814682007
179,ml_libraries,tf,0.9555763602256775
180,javascript,css,0.9897293448448181
181,javascript,agile,0.9892880916595459
182,javascript,ruby,0.988531231880188
183,javascript,restful,0.9775809049606323
184,javascript,salesforce,0.9761702418327332
185,javascript,html,0.9632642269134521
186,javascript,bootstrap,0.9611086845397949
187,javascript,cryptography,0.9608914852142334
188,javascript,jquery,0.957370400428772
189,javascript,docker,0.9549294114112854
190,bigdata,knn,0.9931766390800476
191,bigdata,recommendation_system,0.991955041885376
192,bigdata,machine_vision,0.9882744550704956
193,bigdata,dimensionality_reduction,0.9879330396652222
194,bigdata,support_vector_machine,0.9872175455093384
195,bigdata,scikitlearn,0.9827045202255249
196,bigdata,cybersecurity,0.9824651479721069
197,bigdata,stats,0.9801177978515625
198,bigdata,tensor,0.9797722697257996
199,bigdata,chi,0.9788547158241272
200,bootstrap,jquery,0.9952071905136108
201,bootstrap,restful,0.9948117136955261
202,bootstrap,salesforce,0.9820051193237305
203,bootstrap,git,0.9792822599411011
204,bootstrap,cryptography,0.9758889079093933
205,bootstrap,system_design,0.9752615094184875
206,bootstrap,github,0.9713106155395508
207,bootstrap,django,0.9702886343002319
208,bootstrap,node,0.9680140614509583
209,bootstrap,dynamic_programming,0.9657104015350342
210,algorithms,probability,0.9586864709854126
211,algorithms,bayes,0.9489535093307495
212,algorithms,natural_language_processing,0.9409384727478027
213,algorithms,random_forest,0.9380878210067749
214,algorithms,svm,0.9270600080490112
215,algorithms,pig,0.9235289692878723
216,algorithms,master,0.9192279577255249
217,algorithms,ml,0.9190609455108643
218,algorithms,numpy,0.9157612919807434
219,algorithms,supervised,0.9133392572402954
220,chi,bigdata,0.9788546562194824
221,chi,machine_vision,0.9772473573684692
222,chi,recommendation_system,0.9747591614723206
223,chi,knn,0.9745535254478455
224,chi,scikitlearn,0.9706333875656128
225,chi,tensor,0.9695904850959778
226,chi,stats,0.9648239612579346
227,chi,ba,0.9642578959465027
228,chi,dimensionality_reduction,0.9620095491409302
229,chi,user_interface,0.9600220918655396
230,bayes,svm,0.9540200233459473
231,bayes,random_forest,0.9536701440811157
232,bayes,numpy,0.9534575939178467
233,bayes,xgboost,0.9493227601051331
234,bayes,algorithms,0.9489536285400391
235,bayes,mongodb,0.943277895450592
236,bayes,cassandra,0.9419907927513123
237,bayes,matplotlib,0.9393826127052307
238,bayes,clustering,0.9251458644866943
239,bayes,pig,0.9029203057289124
240,caffe,sklearn,0.9863536357879639
241,caffe,object_oriented_programming,0.9797170162200928
242,caffe,data_algorithms,0.9740797281265259
243,caffe,dimensionality_reduction,0.9735320806503296
244,caffe,airflow,0.9726507663726807
245,caffe,dynamic_programming,0.9702221155166626
246,caffe,tensor,0.9657465219497681
247,caffe,user_interface,0.9627187252044678
248,caffe,bigdata,0.9599359035491943
249,caffe,clojure,0.959347128868103
250,glm,gis,0.9979522228240967
251,glm,seaborn,0.9959851503372192
252,glm,ocr,0.995250403881073
253,glm,gbm,0.9952012300491333
254,glm,data_structure,0.9945229291915894
255,glm,cyber_security,0.9944941997528076
256,glm,nn,0.9915977716445923
257,glm,text_analytics,0.9908115863800049
258,glm,ab_testing,0.9866676926612854
259,glm,vba,0.9852049350738525
260,amazon_web_services,salesforce,0.9696738719940186
261,amazon_web_services,professional,0.9524727463722229
262,amazon_web_services,node,0.9495053887367249
263,amazon_web_services,agile,0.9428531527519226
264,amazon_web_services,django,0.9394568204879761
265,amazon_web_services,cryptography,0.9384148716926575
266,amazon_web_services,jquery,0.9314420819282532
267,amazon_web_services,exploratory,0.9301847815513611
268,amazon_web_services,restful,0.9286627173423767
269,amazon_web_services,bootstrap,0.9285048246383667
270,scala,spark,0.9202682971954346
271,scala,cassandra,0.9048149585723877
272,scala,mongodb,0.9040628671646118
273,scala,matplotlib,0.8983199000358582
274,scala,svm,0.8929294347763062
275,scala,bigquery,0.890323281288147
276,scala,julia,0.8691923022270203
277,scala,caffe,0.868597686290741
278,scala,anomaly,0.8681504726409912
279,scala,sklearn,0.8639432191848755
280,azure,backend,0.934085488319397
281,azure,object_oriented_programming,0.9287278652191162
282,azure,devops,0.9238770008087158
283,azure,data_algorithms,0.9204387068748474
284,azure,clojure,0.9160575866699219
285,azure,cloud_computing,0.9160177707672119
286,azure,bigquery,0.9080311059951782
287,azure,full_stack,0.9057470560073853
288,azure,caffe,0.897779107093811
289,azure,docker,0.8972640037536621
290,recommender_systems,segmentation,0.9797658324241638
291,recommender_systems,boosting,0.9762527942657471
292,recommender_systems,pytorch,0.9748589992523193
293,recommender_systems,cuda,0.9700809121131897
294,recommender_systems,unsupervised,0.9597066044807434
295,recommender_systems,rnn,0.9585897922515869
296,recommender_systems,nltk,0.9564690589904785
297,recommender_systems,cnn,0.9510828852653503
298,recommender_systems,deep_learning,0.9480400681495667
299,recommender_systems,pca,0.944078803062439
300,data_visualization,elasticsearch,0.9088687896728516
301,data_visualization,pyspark,0.8980498909950256
302,data_visualization,cognos,0.8935092091560364
303,data_visualization,data_analysis,0.878608763217926
304,data_visualization,decision_tree,0.8686697483062744
305,data_visualization,data_analytics,0.8633016347885132
306,data_visualization,statistics,0.8606468439102173
307,data_visualization,apache,0.8585984706878662
308,data_visualization,cleaning,0.8552863001823425
309,data_visualization,blockchain,0.8439478278160095
310,spss,senior,0.9286481142044067
311,spss,senior_software_engineer,0.9246094822883606
312,spss,redshift,0.9178968071937561
313,spss,qlik,0.907638430595398
314,spss,web_design,0.9068157076835632
315,spss,javaee,0.9062837958335876
316,spss,cleaning,0.8975828289985657
317,spss,ruby_on_rails,0.8911256790161133
318,spss,shiny,0.8902758359909058
319,spss,visual_studio,0.8885600566864014
320,xgboost,bayes,0.9493228197097778
321,xgboost,svm,0.9487228393554688
322,xgboost,dash,0.9485030174255371
323,xgboost,support_vector_machine,0.9438657164573669
324,xgboost,sklearn,0.9333783388137817
325,xgboost,random_forest,0.9323437213897705
326,xgboost,matplotlib,0.924835205078125
327,xgboost,pig,0.924277663230896
328,xgboost,cassandra,0.9142307043075562
329,xgboost,mongodb,0.9140955805778503
330,mapreduce,spacy,0.9856292009353638
331,mapreduce,big_data_processing,0.9794121384620667
332,mapreduce,ml_libraries,0.978201150894165
333,mapreduce,prediction,0.9756773114204407
334,mapreduce,tf,0.9700169563293457
335,mapreduce,correlation,0.9681214094161987
336,mapreduce,scikit,0.9672761559486389
337,mapreduce,mxnet,0.9613479375839233
338,mapreduce,theano,0.9602150917053223
339,mapreduce,flask,0.955978512763977
340,hadoop,scipy,0.8475170731544495
341,hadoop,hdfs,0.8381160497665405
342,hadoop,graph,0.8364692330360413
343,hadoop,spark,0.8316601514816284
344,hadoop,reinforcement,0.8220620155334473
345,hadoop,statistics,0.820814311504364
346,hadoop,ml_libraries,0.8207708597183228
347,hadoop,elasticsearch,0.8202489614486694
348,hadoop,applied_mathematics,0.8200063705444336
349,hadoop,prediction,0.8185890913009644
350,machine_vision,scikitlearn,0.9910634160041809
351,machine_vision,bigdata,0.9882744550704956
352,machine_vision,recommendation_system,0.983878493309021
353,machine_vision,knn,0.9821322560310364
354,machine_vision,app_development,0.9809948205947876
355,machine_vision,cybersecurity,0.979607105255127
356,machine_vision,chi,0.9772474765777588
357,machine_vision,tensor,0.9765997529029846
358,machine_vision,user_interface,0.9755038022994995
359,machine_vision,dimensionality_reduction,0.972298264503479
360,spacy,big_data_processing,0.989500880241394
361,spacy,mapreduce,0.9856292009353638
362,spacy,tf,0.9782797694206238
363,spacy,prediction,0.9721775054931641
364,spacy,nltk,0.970954179763794
365,spacy,theano,0.9708150029182434
366,spacy,microsoft_power_bi,0.9689980149269104
367,spacy,scikit,0.965636134147644
368,spacy,mxnet,0.9616144895553589
369,spacy,dl_libraries,0.9609590768814087
370,optimizing,cnn,0.9541969299316406
371,optimizing,scipy,0.9389985203742981
372,optimizing,ml_libraries,0.9292832016944885
373,optimizing,reinforcement,0.9217061996459961
374,optimizing,tuning,0.9183769226074219
375,optimizing,pandas,0.9043781757354736
376,optimizing,phd,0.8988423347473145
377,optimizing,nlp,0.8935103416442871
378,optimizing,tensorflow,0.8929175138473511
379,optimizing,boosting,0.8908392190933228
380,bachelors,exploratory,0.9348154067993164
381,bachelors,tensor,0.9177494049072266
382,bachelors,ms,0.908128559589386
383,bachelors,ba,0.9068216681480408
384,bachelors,probability,0.9016767144203186
385,bachelors,user_interface,0.8999866843223572
386,bachelors,system_design,0.8973878622055054
387,bachelors,data_science,0.8945176005363464
388,bachelors,ma,0.8933810591697693
389,bachelors,node,0.8919384479522705
390,supervised,natural_language_processing,0.9640125036239624
391,supervised,ml,0.9135850667953491
392,supervised,algorithms,0.9133392572402954
393,supervised,xgboost,0.9048725962638855
394,supervised,bayes,0.887667715549469
395,supervised,algebra,0.8830839991569519
396,supervised,pig,0.8779138326644897
397,supervised,probability,0.8776976466178894
398,supervised,phd,0.8618448376655579
399,supervised,data_science,0.8613369464874268
400,java,oop,0.940464198589325
401,java,ruby_on_rails,0.9386723041534424
402,java,backend,0.9323004484176636
403,java,full_stack,0.9290271997451782
404,java,senior_software_engineer,0.928930401802063
405,java,docker,0.921724259853363
406,java,kotlin,0.9158047437667847
407,java,senior,0.9145568609237671
408,java,ruby,0.9090516567230225
409,java,html,0.9081430435180664
410,ms,machine_vision,0.9551368951797485
411,ms,scikitlearn,0.9326484799385071
412,ms,tensor,0.9256187081336975
413,ms,app_development,0.9238202571868896
414,ms,ba,0.9229904413223267
415,ms,chi,0.9221283793449402
416,ms,user_interface,0.9221206903457642
417,ms,bigdata,0.9179044961929321
418,ms,cs,0.9178781509399414
419,ms,knn,0.9138458967208862
420,nosql,bachelors,0.8060766458511353
