,userId,Years_of_Exper,Degree,AllSkills
0,425562397,Senior,Master's,"['amazon ec2', 'software engineering', 'xcode', 'aws lambda', 'c', 'javascript', 'matlab', 'objective-c', 'scala', 'html', 'big data', 'eclipse', 'java', 'php', 'css', 'hadoop']"
1,215180440,Senior,Master's,"['python', 'c', 'c++', 'matlab', 'algorithm', 'html', 'java']"
2,111186163,Senior,PhD,"['machine learning', 'python', 'c', 'c/c++', 'neural networks', 'c++', 'matlab', 'sql', 'r', 'java', 'computer vision']"
3,207600550,Mid,Master's,"['python', 'c', 'javascript', 'matlab', 'mapreduce', 'computer science', 'data structures', 'artificial intelligence', 'hadoop', 'algorithm', 'sql', 'object-oriented programming (oop)', 'java', 'css', 'html5']"
4,44528135,Senior,Bachelor’s,"['data mining', 'natural language processing', 'machine learning', 'python', 'c', 'git', 'c++', 'computer science', 'android development', 'data structures', 'artificial intelligence', 'algorithm', 'eclipse', 'cognitive science', 'computer vision', 'software development', 'java']"
5,283912926,Mid,Bachelor’s,"['python', 'c#', 'ios development', '.net', 'c++', 'data structures', 'research', 'algorithm', 'java', 'css']"
6,207711695,Senior,Master's,"['data mining', 'python', 'machine learning', 'git', 'angular', 'c++', 'eclipse', 'java', 'computer vision', 'shell scripting']"
7,48513720,Senior,Master's,"['rest', 'python', 'machine learning', 'c', 'c++', 'algorithm', 'sql', 'object-oriented programming (oop)', 'bash', 'java', 'shell scripting', 'oop']"
8,72847910,Mid,PhD,"['machine learning', 'python', 'c', 'cuda', 'matlab', 'c++', 'computer science', 'research', 'algorithm', 'java', 'computer vision']"
9,307447566,Mid,Master's,"['python', 'c', 'c++', 'matlab', 'html', 'java']"
10,755084127,Entry,Bachelor’s,"['rest', 'git', 'javascript', 'matlab', 'data structures', 'calculus', 'algorithm', 'html', 'object-oriented programming (oop)', 'cascading style sheets (css)', 'java', 'c ', 'python ']"
